Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.brucei RNA Seq data from George Cross - procyclic form - nonunique (Tb PCF BSF RSeq)	T.brucei RNA Seq data from George Cross - blood form - nonunique (Tb PCF BSF RSeq)	sense - PCF mRNA	sense - slBF mRNA	sense - cBF mRNA	sense - PF mRNA	sense - BF mRNA	
Tb927.6.4780	Tb927.6.4780.1:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,333,320..1,336,144(+)	DNA ligase I, putative	25.08	18.57	14.69	15.69	23.55	19.42	16.91	
Tb927.6.4780	Tb927.6.4780.2:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,333,320..1,336,144(+)	DNA ligase I, putative	25.08	18.57	14.69	15.69	23.55	19.42	16.91	
Tb927.6.4790	Tb927.6.4790:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,336,545..1,337,384(+)	hypothetical protein, conserved	15.16	15.3	26.25	28.81	45.44	52.1	54.88	
Tb927.6.480	Tb927.6.480:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:218,397..219,097(+)	surface protein EP3-2 procyclin precursor	2619.07	9.82	1229.96	21.63	81.3	196.19	16.64	
Tb927.6.4800	Tb927.6.4800:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,337,515..1,339,143(+)	hypothetical protein, conserved	17.1	20.01	19.11	19.47	21.65	13.84	18.98	
Tb927.6.4810	Tb927.6.4810:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,339,284..1,340,362(+)	zinc-binding protein (Yippee), putative	10.88	18.62	10.44	25.39	22.86	6.5	16.47	
Tb927.6.4820	Tb927.6.4820:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,340,813..1,341,954(+)	chromosomal passenger complex protein 1	6.27	10.96	14.34	21.47	16.59	8.69	19.13	
Tb927.6.4830	Tb927.6.4830:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,342,089..1,343,696(+)	MIZ/SP-RING zinc finger, putative	15.1	16.56	13.27	18.88	21.78	10.38	21.99	
Tb927.6.4840	Tb927.6.4840:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,344,492..1,345,787(+)	S-adenosylmethionine synthetase	529.28	432.02	325.64	470.65	364.19	164.5	236.73	
Tb927.6.4850	Tb927.6.4850:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,346,598..1,348,550(+)	S-adenosylmethionine synthetase	406.86	365.5	279.75	436.63	327.48	154.11	287.26	
Tb927.6.4860	Tb927.6.4860:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,348,704..1,349,999(+)	S-adenosylmethionine synthetase	514.7	422.19	322.05	466.68	359.51	158.89	231.01	
Tb927.6.4870	Tb927.6.4870:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,350,808..1,352,693(+)	S-adenosylmethionine synthetase	441.05	394.12	291.72	450.03	341.88	161.03	291.97	
Tb927.6.4880	Tb927.6.4880:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,352,914..1,354,866(+)	S-adenosylmethionine synthetase	408.8	367.5	283.21	438.54	327.62	160.1	288.21	
Tb927.6.4890	Tb927.6.4890:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,355,020..1,356,905(+)	S-adenosylmethionine synthetase	435.14	389.32	291.25	450.78	338.57	160.55	290.89	
Tb927.6.490	Tb927.6.490:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:219,236..220,540(+)	procyclin associated gene 3 (PAG3) protein	15.55	6.6	30.34	20.08	16.77	77.51	17.03	
Tb927.6.4900	Tb927.6.4900:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,357,125..1,359,008(+)	S-adenosylmethionine synthetase	441.83	395.03	296.52	457.9	343.59	161.21	292.47	
Tb927.6.4910	Tb927.6.4910:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,359,229..1,361,112(+)	S-adenosylmethionine synthetase	441.83	395.03	296.52	457.9	343.59	161.21	292.47	
Tb927.6.4920	Tb927.6.4920:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,361,333..1,362,628(+)	S-adenosylmethionine synthetase	529.28	432.02	325.64	470.65	364.19	164.5	236.73	
Tb927.6.4930	Tb927.6.4930.1:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,362,900..1,363,672(+)	thiosulfate sulfurtransferase, mitochondrial, putative	14.16	10.25	15.6	13.44	13.77	16.55	19.16	
Tb927.6.4930	Tb927.6.4930.2:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,362,900..1,363,672(+)	thiosulfate sulfurtransferase, mitochondrial, putative	14.16	10.25	15.6	13.44	13.77	16.55	19.16	
Tb927.6.4940	Tb927.6.4940:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,363,770..1,365,229(+)	RF-1 domain containing protein, putative	11.86	10.22	5.82	9.06	8.6	18.12	21.31	
Tb927.6.4950	Tb927.6.4950:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,365,362..1,366,051(+)	Protein mago nashi homolog	22.21	22.29	45.27	39.64	64.3	37.25	66.28	
Tb927.6.4960	Tb927.6.4960:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,366,175..1,366,973(+)	Zinc finger CCCH domain-containing protein 47	11.71	13.5	15.3	15.19	15.48	6.55	11.82	
Tb927.6.4970	Tb927.6.4970:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,367,387..1,370,104(+)	serine/arginine-rich protein specific kinase SRPK, putative	25.77	22.93	18.2	18.25	26.11	11.32	19.14	
Tb927.6.4980	Tb927.6.4980:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,370,227..1,370,758(+)	40S ribosomal protein S14	845	479.4	893.2	570	757.78	1235.12	846.07	
Tb927.6.4990	Tb927.6.4990:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,370,960..1,371,706(+)	mitochondrial ATP synthase delta chain	60.74	38.26	119.65	43.32	49.47	59.42	50.32	
Tb927.6.500	Tb927.6.500:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:220,647..225,702(+)	gene related to expression site-associated gene 2 (GRESAG2), putative	5	5.77	2.73	15.62	7.81	6.23	13.33	
Tb927.6.5000	Tb927.6.5000:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,371,948..1,373,470(+)	Protein of unknown function (DUF773), putative	6.66	7.91	6.63	11.32	9.76	10.2	22.98	
Tb927.6.5010	Tb927.6.5010:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,373,730..1,375,737(+)	hypothetical protein, conserved	13.97	21.89	10.93	29.12	16.82	7.11	34.76	
Tb927.6.5020	Tb927.6.5020:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,375,206..1,378,168(+)	cyclin 7, putative	6.45	10.96	6.64	12.79	8.09	5.97	27.87	
Tb927.6.5030	Tb927.6.5030:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,378,614..1,380,308(+)	Component of motile flagella protein 46	10.45	12.73	8.08	13.41	15.98	4.78	12.67	
Tb927.6.5040	Tb927.6.5040:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,380,695..1,381,564(+)	ribosomal protein L15, putative	364.15	240.51	472.91	318.52	358.3	542.78	455.65	
Tb927.6.5050	Tb927.6.5050:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,381,779..1,382,829(+)	V-type ATPase, C subunit, putative	25.56	42.59	32.75	45.46	64.97	32.6	69.94	
Tb927.6.5060	Tb927.6.5060:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,383,074..1,383,587(+)	hypothetical protein, conserved	48.39	28.81	45.75	37.56	51.48	43.79	54.39	
Tb927.6.5070	Tb927.6.5070:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,383,915..1,385,898(+)	hypothetical protein, conserved	89.17	94.24	57.57	61.67	51.17	38.41	75.87	
Tb927.6.5080	Tb927.6.5080:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,386,177..1,388,705(+)	Protein of unknown function (DUF3808), putative	29.98	23.15	11.16	19.13	15.14	7.6	20.5	
Tb927.6.5090	Tb927.6.5090:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,389,475..1,393,309(+)	hypothetical protein, conserved	19.46	8.95	5.77	4.32	5.53	4.06	4.39	
Tb927.6.5095	Tb927.6.5095:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,393,434..1,394,010(+)	hypothetical protein	139.68	27.45	235.73	43.06	66.7	124.43	73.48	
Tb927.6.510	Tb927.6.510:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:225,806..226,480(+)	GPEET procyclin	817.81	16.15	5740.67	29.15	241.56	1337.03	31	
Tb927.6.5100	Tb927.6.5100:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,394,206..1,397,433(+)	polo-like protein kinase, putative	6.53	5.44	7.09	7.6	7.31	5.89	8.55	
Tb927.6.5110	Tb927.6.5110:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,397,613..1,401,729(+)	damage-specific DNA binding protein, putative	8.51	6.69	5.71	9.29	7.64	10.62	14.3	
Tb927.6.5120	Tb927.6.5120:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,401,831..1,402,226(+)	60S acidic ribosomal protein P2, putative	273.88	308.69	993.99	624.66	932.53	1022.39	671.41	
Tb927.6.5130	Tb927.6.5130:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,402,431..1,402,856(+)	60S acidic ribosomal protein P2, putative	207.87	131.49	1060.46	638.25	778.62	791.21	578.5	
Tb927.6.5140	Tb927.6.5140:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,403,027..1,404,505(+)	ribosomal P protein AGP2beta-1, putative	24.89	15.13	27.84	13.73	22.45	17.1	16.52	
Tb927.6.5150	Tb927.6.5150:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,404,662..1,414,192(+)	hypothetical protein, conserved	7.35	4.72	4.38	8.25	7.24	5.76	8.26	
Tb927.6.5160	Tb927.6.5160:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,413,781..1,426,421(+)	retrotransposon hot spot protein 3 (RHS3), point mutation	5.73	10.14	2.15	4.7	11.35	2.94	12	
Tb927.6.5170	Tb927.6.5170:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,426,663..1,427,723(+)	retrotransposon hot spot protein 4 (RHS4), interrupted	20.63	24.88	4.68	6.84	32.29	13.23	20.77	
Tb927.6.5180	Tb927.6.5180:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,433,349..1,435,007(+)	retrotransposon hot spot protein 4 (RHS4), interrupted	13.79	12.25	4.78	4.77	19.66	12.36	22.21	
Tb927.6.5190	Tb927.6.5190:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,435,617..1,438,173(+)	DNA-directed RNA polymerase III, pseudogene, putative	30.51	46.1	12.06	15.03	90.65	27.82	79.65	
Tb927.6.520	Tb927.6.520:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:227,084..227,802(+)	EP3-2 procyclin	2508.11	10.86	1210.3	15.89	91.86	425.12	20.86	
Tb927.6.5200	Tb927.6.5200:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,438,572..1,439,537(+)	hypothetical protein, conserved	1.65	1.31	1.11	1.72	2.97	1.03	2.68	
Tb927.6.5210	Tb927.6.5210:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,442,501..1,445,879(-)	variant surface glycoprotein, frameshift	0	0.17	0.05	2.91	0.16	0	0.22	
Tb927.6.5220	Tb927.6.5220:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,447,145..1,447,360(-)	variant surface glycoprotein, fragment, degenerate	0	0	0	0.41	0.14	0	0	
Tb927.6.5230	Tb927.6.5230:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,448,010..1,449,533(-)	variant surface glycoprotein, degenerate	0	0	0.02	3.78	0.19	0	0	
Tb927.6.5240	Tb927.6.5240:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,451,185..1,452,674(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0.02	0.62	1.41	0	0.12	
Tb927.6.5250	Tb927.6.5250:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,454,309..1,454,681(-)	variant surface glycoprotein, fragment	0	0	0	0.38	0.02	0	0	
Tb927.6.5260	Tb927.6.5260:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,455,529..1,456,914(-)	variant surface glycoprotein (VSG), putative	0	0.08	0.06	78.17	0.72	0	0	
Tb927.6.5270	Tb927.6.5270:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,457,223..1,458,246(-)	expression site-associated gene 3 (ESAG3), degenerate	0	1.79	0.03	0.67	1.58	0	2.89	
Tb927.6.5280	Tb927.6.5280:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,459,001..1,460,601(-)	variant surface glycoprotein, degenerate	0	0.07	0	0.36	0.01	0	0	
Tb927.6.5290	Tb927.6.5290:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,462,547..1,463,967(-)	variant surface glycoprotein, degenerate	0	0	0	5.73	0.01	0	0	
Tb927.6.530	Tb927.6.530:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:227,941..229,176(+)	procyclin associated gene 3 (PAG3) protein	14.81	6.69	32.31	20.43	17.78	77.98	16.48	
Tb927.6.5300	Tb927.6.5300:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,464,297..1,466,018(-)	variant surface glycoprotein, degenerate	0	0.13	0	0.24	0	0	0	
Tb927.6.5310	Tb927.6.5310:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,466,031..1,467,154(-)	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	0	0	0	0.02	0.01	0	0	
Tb927.6.5320	Tb927.6.5320:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,468,436..1,469,631(-)	variant surface glycoprotein, frameshift	0	0	0	0.1	0.02	0	0	
Tb927.6.5330	Tb927.6.5330:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,471,524..1,473,031(-)	variant surface glycoprotein, degenerate	0	0	0	0.23	0.02	0	0.12	
Tb927.6.5350	Tb927.6.5350:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,475,188..1,477,176(-)	variant surface glycoprotein, degenerate	0	0	0	0	0.01	0	0	
Tb927.6.5360	Tb927.6.5360:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,477,743..1,478,378(-)	variant surface glycoprotein, degenerate	0	0.18	0.02	0	0.05	0	0	
Tb927.6.5370	Tb927.6.5370:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,480,781..1,488,237(-)	variant surface glycoprotein (VSG), putative	0.27	0.58	0.15	0.36	0.56	0.12	0.65	
Tb927.6.5380	Tb927.6.5380:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,490,579..1,491,210(-)	variant surface glycoprotein, truncated	0	0	0	0	0.04	0	0	
Tb927.6.5390	Tb927.6.5390:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,493,022..1,494,614(-)	variant surface glycoprotein, degenerate	0	0.07	0	0.04	0	0	0	
Tb927.6.540	Tb927.6.540:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:229,283..230,660(+)	gene related to expression site-associated gene 2 (GRESAG2), putative	1.44	5.58	3.15	26.33	12.4	2.95	18.81	
Tb927.6.5400	Tb927.6.5400:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,494,811..1,495,792(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0	0.02	2.22	0.85	0	0.38	
Tb927.6.5410	Tb927.6.5410:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,496,827..1,498,322(-)	variant surface glycoprotein, degenerate	0	0.08	0	0	0.03	0	0.12	
Tb927.6.5420	Tb927.6.5420:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,499,650..1,501,287(-)	variant surface glycoprotein, degenerate	0	0	0	0	0.04	0	0	
Tb927.6.5430	Tb927.6.5430:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,502,980..1,504,446(-)	variant surface glycoprotein, degenerate	0	0	0.06	627.24	0	0	0	
Tb927.6.5440	Tb927.6.5440:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,505,438..1,506,925(-)	variant surface glycoprotein, degenerate	0	0	0.01	1.32	1.55	0	0	
Tb927.6.5450	Tb927.6.5450:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,509,044..1,510,516(-)	variant surface glycoprotein (VSG, atypical), putative	0	0.08	0	0.47	0.01	0	0	
Tb927.6.5460	Tb927.6.5460:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,511,908..1,513,160(-)	variant surface glycoprotein, degenerate	0	0.18	0	0	0	0	0	
Tb927.6.5470	Tb927.6.5470:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,514,870..1,520,308(-)	variant surface glycoprotein, degenerate	0.07	0.17	0.06	0.14	0.19	0.02	0.2	
Tb927.6.5480	Tb927.6.5480:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,522,493..1,523,905(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.6.5490	Tb927.6.5490:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,524,124..1,525,221(-)	expression site-associated gene 3 (ESAG3), degenerate	0	19.03	0.39	1.16	19.11	0	36.76	
Tb927.6.550	Tb927.6.550:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:230,921..237,867(+)	hypothetical protein	1.32	2.2	0.2	1.33	0.61	0.82	0.93	
Tb927.6.5500	Tb927.6.5500:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,526,394..1,527,878(-)	variant surface glycoprotein, degenerate	0.13	0	0.03	0.07	0.04	0	0	
Tb927.6.5510	Tb927.6.5510:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,528,102..1,529,187(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0	0	0	0.24	0	0	
Tb927.6.5520	Tb927.6.5520:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,530,349..1,531,843(-)	variant surface glycoprotein, degenerate	0	0	0.01	1.58	1.59	0	0	
Tb927.6.5530	Tb927.6.5530:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,533,041..1,534,610(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.6.5540	Tb927.6.5540:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,535,531..1,537,172(-)	variant surface glycoprotein, degenerate	0	0.07	0	5.26	0.01	0	0	
Tb927.6.5550	Tb927.6.5550:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,539,037..1,540,536(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	0.01	0	0	0	
Tb927.6.5560	Tb927.6.5560:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,541,527..1,543,015(-)	variant surface glycoprotein, degenerate	0	0	0	0.82	0.02	0	0	
Tb927.6.5570	Tb927.6.5570:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,545,265..1,549,108(-)	variant surface glycoprotein, fragment, degenerate	0.83	0.93	0.03	0.11	0.09	0.06	0.14	
Tb927.6.5580	Tb927.6.5580:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,551,602..1,552,224(-)	expression site-associated gene 3 (ESAG3), degenerate	0	0	0.04	0.09	0.27	0	0	
Tb927.6.5590	Tb927.6.5590:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,553,302..1,554,901(-)	variant surface glycoprotein, frameshift	0	0	0	1.12	0.04	0	0.12	
Tb927.6.560	Tb927.6.560:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:238,072..239,178(-)	cysteine peptidase C (CPC)	34.87	160.82	42.98	129.04	151.92	23.89	133.64	
Tb927.6.5600	Tb927.6.5600:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,557,002..1,558,562(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.6.5610	Tb927.6.5610:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,559,108..1,562,138(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0.02	0	0	
Tb927.6.5620	Tb927.6.5620:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,563,723..1,565,211(-)	variant surface glycoprotein, degenerate	0	0.08	0	0	0.01	0	0	
Tb927.6.5630	Tb927.6.5630:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,566,319..1,567,839(-)	variant surface glycoprotein, frameshift	0	0	0	11.16	0.02	0	0	
Tb927.6.5640	Tb927.6.5640:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,568,854..1,570,346(-)	variant surface glycoprotein, degenerate	0	0	0.02	0	0	0	0	
Tb927.6.5650	Tb927.6.5650:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,572,981..1,574,560(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.6.5660	Tb927.6.5660:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,576,195..1,577,732(-)	variant surface glycoprotein, degenerate	0	0	0.01	0.08	0.07	0	0	
Tb927.6.5670	Tb927.6.5670:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,579,238..1,581,078(-)	variant surface glycoprotein, degenerate	0	0	0.01	0	0.03	0	0	
Tb927.6.5680	Tb927.6.5680:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,581,624..1,582,375(-)	variant surface glycoprotein, degenerate	0	0	0	0	0	0	0	
Tb927.6.5690	Tb927.6.5690:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,583,761..1,584,174(-)	variant surface glycoprotein, fragment	0	0	0	0.02	0	0	0	
Tb927.6.570	Tb927.6.570:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:239,301..239,850(-)	conserved protein	20.26	20.03	30.19	35.09	42.73	14.34	35.68	
Tb927.6.5700	Tb927.6.5700:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,586,589..1,586,972(-)	variant surface glycoprotein, fragment, degenerate	0	0	0	0.47	0	0	0.48	
Tb927.6.5710	Tb927.6.5710:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,587,573..1,589,097(-)	variant surface glycoprotein, degenerate	0	0	0	0.1	0.15	0	0	
Tb927.6.5720	Tb927.6.5720:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,589,277..1,590,107(-)	expression site-associated gene 3 (ESAG3), degenerate	0	1.38	0.01	1.04	3.85	0	17.38	
Tb927.6.5730	Tb927.6.5730:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,591,053..1,592,530(-)	variant surface glycoprotein, degenerate	0	0	0	0.03	0.14	0	0	
Tb927.6.5740	Tb927.6.5740:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,594,443..1,595,975(-)	variant surface glycoprotein (VSG, atypical), putative	0	0	0	0	0.02	0	0	
Tb927.6.5750	Tb927.6.5750:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,596,848..1,597,507(-)	variant surface glycoprotein, fragment	0	0	0	0	0.01	0	0	
Tb927.6.5760	Tb927.6.5760:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,599,603..1,601,179(-)	variant surface glycoprotein, degenerate	0	0	0	0.01	0.01	0	0	
Tb927.6.5770	Tb927.6.5770:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,601,461..1,602,456(-)	expression site-associated gene 3 (ESAG3), degenerate	0	1.27	0	0.51	1.57	0	5.76	
Tb927.6.5780	Tb927.6.5780:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,603,494..1,605,002(-)	variant surface glycoprotein, point mutation	0	0	0	0.15	0.02	0	0	
Tb927.6.5790	Tb927.6.5790:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,607,470..1,608,983(-)	variant surface glycoprotein, frameshift	0	0	0.16	7.81	0.44	0	0	
Tb927.6.580	Tb927.6.580:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:239,988..242,327(-)	hypothetical protein, conserved	10.46	10.99	7.66	13	15.1	12.26	21.68	
Tb927.6.5800	Tb927.6.5800:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,610,263..1,610,565(-)	variant surface glycoprotein, fragment	0	0	0	0	0	0	0	
Tb927.6.5810	Tb927.6.5810:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:1,610,845..1,612,053(+)	transposase of Tn10	0	0	0	0	0	0.34	0	
Tb927.6.5820	Tb927.6.5820:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,612,058..1,613,172(-)	variant surface glycoprotein, fragment	0	0	0	0	0.01	0	0	
Tb927.6.5830	Tb927.6.5830:pseudogenic_transcript	T. brucei brucei TREU927	Tb927_06_v5.1:1,614,636..1,616,066(-)	variant surface glycoprotein, degenerate	0	0	0	0.05	0.01	0	0	
Tb927.6.590	Tb927.6.590:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:242,644..243,311(-)	hypothetical protein, conserved	112.91	49.31	94.2	40.73	57.77	85.6	108.93	
Tb927.6.600	Tb927.6.600:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:243,281..246,923(-)	ccr4-not transcription complex subunit	12.84	8.48	5.78	7.95	4.46	4.71	14.84	
Tb927.6.610	Tb927.6.610:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:247,638..249,411(-)	kinetoplast ribosomal PPR-repeat containing protein 18	15.93	13.91	10.62	16.03	17.5	7.58	13.05	
Tb927.6.620	Tb927.6.620:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:249,988..258,560(-)	hypothetical protein, conserved	8.24	6.56	5.04	10.39	7.53	5.33	10.39	
Tb927.6.630	Tb927.6.630:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:259,370..261,573(-)	hypothetical protein, conserved	22.3	13.7	12.91	12.31	13.27	10.85	18.9	
Tb927.6.640	Tb927.6.640:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:261,870..272,494(-)	ApaH-like phosphatase ALPH1	7.68	5.44	2.78	6.57	3.66	6.67	12.84	
Tb927.6.650	Tb927.6.650:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:271,742..278,394(-)	hypothetical protein, conserved	9.96	7.4	2.76	6.8	5.48	5.39	9.02	
Tb927.6.660	Tb927.6.660:mRNA	T. brucei brucei TREU927	Tb927_06_v5.1:279,233..281,196(-)	hypothetical protein, conserved	35.26	27.58	10.78	18.01	16.36	8.75	16.87	
