2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,BS RNAs/ cell Silicotryp ,Log 2 BS RNAs/ cell Silicotryp ,RPM pA+ fragments BS,BS RNAs/cell pA+ fragments ,Log 2 BS RNAs/cell pA+ fragments ,RPM Ribosome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb BS,Fraction in polysomes,mRNA abundance BS/PC (Silicotryp),"ribosomes/kb, BS/PC"
Tb927.11.10460,"hypothetical protein, conserved",ZUnknown,1,933,1.1,0.19,75.22,1.50,0.59,14.54,14.54,1.28,1.12,1.2,0.765,1.91,0.984
Tb927.8.2600,"hypothetical protein, conserved",ZUnknown,1,1941,1.4,0.47,64.02,1.28,0.36,49.60,49.6,4.35,3.14,1.62,0.75,1.84,0.255
Tb927.6.840,"hypothetical protein, conserved",ZUnknown,1,1056,2.4,1.25,59.60,1.19,0.25,146.75,146.75,12.87,5.42,5.13,0.803,1.01,0.946
Tb927.9.12080,"hypothetical protein, conserved",ZUnknown,1,552,2.0,1.00,66.63,1.33,0.41,20.04,20.04,1.76,0.88,1.59,0.659,1.49,1.395
Tb927.5.2110,"hypothetical protein, conserved",ZUnknown,1,549,4.3,2.11,104.18,2.08,1.06,64.17,64.17,5.63,1.3,2.37,0.677,1.18,1.837
Tb927.11.10220,"hypothetical protein, conserved",ZUnknown,1,357,2.9,1.55,96.11,1.92,0.94,71.91,71.91,6.31,2.16,6.05,0.672,0.73,2.058
Tb927.10.12410,"hypothetical protein, conserved",ZUnknown,1,687,3.9,1.95,211.69,4.23,2.08,178.82,178.82,15.68,4.05,5.9,0.739,0.91,1.603
Tb927.8.2620,"hypothetical protein, conserved",ZUnknown,1,2505,1.1,0.16,189.99,3.80,1.93,216.45,216.45,18.98,17.04,6.8,0.785,2.25,0.633
Tb927.5.740,"hypothetical protein, conserved",ZUnknown,1,630,2.3,1.21,81.52,1.63,0.71,15.92,15.92,1.4,0.6,0.95,0.573,0.35,1.863
Tb927.6.2470,"hypothetical protein, conserved",ZUnknown,1,1479,0.8,-0.30,116.30,2.33,1.22,44.63,44.63,3.91,4.82,3.26,0.566,0.8,0.953
Tb927.4.920,"hypothetical protein, conserved",ZUnknown,1,762,2.7,1.45,103.10,2.06,1.04,86.64,86.64,7.6,2.78,3.65,0.745,1.08,1.272
Tb927.4.1960,"hypothetical protein, conserved",ZUnknown,1,1125,1.2,0.21,79.37,1.59,0.67,21.25,21.25,1.86,1.61,1.43,0.654,1.11,0.79
Tb927.7.2230,"hypothetical protein, conserved",ZUnknown,1,1137,2.2,1.16,68.46,1.37,0.45,23.79,23.79,2.09,0.93,0.82,0.638,1.19,1.065
Tb927.11.410,"hypothetical protein, conserved",ZUnknown,1,372,2.7,1.43,31.88,0.64,-0.65,9.90,9.9,0.87,0.32,0.86,0.59,1.32,0.729
Tb927.10.5430,"hypothetical protein, conserved",ZUnknown,1,846,1.4,0.52,68.15,1.36,0.45,71.82,71.82,6.3,4.41,5.21,0.72,2.35,0.508
Tb927.7.4810,"hypothetical protein, conserved",ZUnknown,2,1377,1.4,0.47,64.55,2.58,1.37,28.85,57.7,5.06,3.65,2.65,0.688,2.38,0.47
Tb927.10.13090,"hypothetical protein, conserved",ZUnknown,1,1764,1.7,0.74,94.13,1.88,0.91,140.85,140.85,12.35,7.42,4.21,0.773,6.54,1.287
Tb927.6.2730,"hypothetical protein, conserved",ZUnknown,1,5358,0.9,-0.09,135.80,2.72,1.44,64.64,64.64,5.67,6.05,1.13,0.695,2.37,0.399
Tb927.8.3720,"hypothetical protein, conserved",ZUnknown,1,1095,3.3,1.74,140.93,2.82,1.49,119.52,119.52,10.48,3.15,2.88,0.772,9.28,6
Tb927.11.15620,"hypothetical protein, conserved",ZUnknown,1,1875,0.8,-0.31,114.85,2.30,1.20,4.37,4.37,0.38,0.47,0.25,0.537,0.85,1.471
Tb927.9.13540,"hypothetical protein, conserved",ZUnknown,1,1074,1.0,0.02,135.55,2.71,1.44,36.62,36.62,3.21,3.18,2.96,0.574,1.1,1.383
Tb927.4.510,"hypothetical protein, conserved",ZUnknown,1,438,2.4,1.24,46.55,0.93,-0.10,36.37,36.37,3.19,1.35,3.08,0.656,1.37,1.077
Tb927.8.3840,"hypothetical protein, conserved",ZUnknown,1,2226,2.4,1.27,190.05,3.80,1.93,454.85,454.85,39.89,16.56,7.44,0.825,3.53,0.814
Tb927.5.3200,"hypothetical protein, conserved",ZUnknown,1,780,1.8,0.82,71.11,1.42,0.51,24.43,24.43,2.14,1.22,1.56,0.747,1.53,0.83
Tb927.10.12860,"hypothetical protein, conserved",ZUnknown,1,2085,1.3,0.40,97.26,1.95,0.96,77.94,77.94,6.84,5.17,2.48,0.77,1.49,0.62
Tb927.9.2940,"hypothetical protein, conserved",ZUnknown,1,1488,2.1,1.10,108.74,2.17,1.12,130.74,130.74,11.47,5.35,3.6,0.75,1.76,1.212
Tb927.10.7030,"hypothetical protein, conserved",ZUnknown,1,807,1.5,0.55,94.68,1.89,0.92,41.57,41.57,3.65,2.5,3.1,0.733,0.89,2.279
Tb927.11.3840,"hypothetical protein, conserved",ZUnknown,1,1389,1.0,0.07,103.70,2.07,1.05,52.09,52.09,4.57,4.35,3.13,0.75,0.99,1.151
Tb927.10.11190,"hypothetical protein, conserved",ZUnknown,1,1461,1.0,0.02,97.22,1.94,0.96,20.29,20.29,1.78,1.76,1.2,0.706,2.34,0.93
Tb927.3.1660,"hypothetical protein, conserved",ZUnknown,1,2370,2.4,1.26,33.43,0.67,-0.58,94.48,94.48,8.29,3.46,1.46,0.776,5.72,16.222
Tb927.9.1420,"hypothetical protein, conserved",ZUnknown,1,927,2.1,1.07,89.88,1.80,0.85,31.53,31.53,2.77,1.32,1.42,0.585,1.43,0.821
Tb927.8.5940,"hypothetical protein, conserved",ZUnknown,1,1419,2.0,1.00,62.71,1.25,0.33,82.08,82.08,7.2,3.6,2.54,0.767,1.83,0.713
Tb927.4.1030,"hypothetical protein, conserved",ZUnknown,1,828,0.7,-0.51,82.06,1.64,0.71,13.84,13.84,1.21,1.72,2.08,0.614,0.69,1.793
Tb927.5.2530,"hypothetical protein, conserved",ZUnknown,1,3120,2.9,1.54,157.66,3.15,1.66,113.10,113.1,9.92,3.41,1.09,0.792,3.53,0.077
Tb927.2.4410,"hypothetical protein, conserved",ZUnknown,1,675,5.1,2.35,143.94,2.88,1.53,192.50,192.5,16.88,3.31,4.9,0.85,2.4,0.872
Tb927.7.560,"hypothetical protein, conserved",ZUnknown,1,2322,0.9,-0.21,91.59,1.83,0.87,29.62,29.62,2.6,3,1.29,0.639,2.12,0.403
Tb927.4.1420,"hypothetical protein, conserved",ZUnknown,1,405,1.2,0.25,63.47,1.27,0.34,59.47,59.47,5.22,4.38,10.81,0.715,0.79,2.285
Tb927.11.700,"hypothetical protein, conserved",ZUnknown,2,1068,1.8,0.83,85.62,3.42,1.78,71.70,143.4,12.58,7.06,6.61,0.709,2.32,0.841
Tb927.11.2780,"hypothetical protein, conserved",ZUnknown,1,1986,1.1,0.10,153.41,3.07,1.62,46.64,46.64,4.09,3.83,1.93,0.578,1.74,0.801
Tb927.7.4760,"hypothetical protein, conserved",ZUnknown,1,1620,1.1,0.14,244.44,4.89,2.29,60.52,60.52,5.31,4.81,2.97,0.7,1.21,0.922
Tb927.3.1180,"hypothetical protein, conserved",ZUnknown,1,2496,1.0,0.04,147.11,2.94,1.56,36.78,36.78,3.23,3.14,1.26,0.695,1.54,0.778
Tb927.8.6860,"hypothetical protein, conserved",ZUnknown,1,2247,1.0,-0.01,158.22,3.16,1.66,40.82,40.82,3.58,3.59,1.6,0.65,0.92,0.734
Tb927.9.7580,"hypothetical protein, conserved",ZUnknown,1,1728,1.6,0.71,161.81,3.24,1.69,11.48,11.48,1.01,0.61,0.35,0.497,0.91,1.4
Tb927.11.8810,"hypothetical protein, conserved",ZUnknown,1,1338,1.0,0.05,101.00,2.02,1.01,9.27,9.27,0.81,0.78,0.58,0.54,1.21,0.617
Tb927.7.7150,"hypothetical protein, conserved",ZUnknown,1,1686,0.6,-0.64,79.83,1.60,0.68,36.48,36.48,3.2,4.98,2.95,0.662,1.39,0.987
Tb927.9.5700,"hypothetical protein, conserved",ZUnknown,1,6444,1.2,0.32,213.87,4.28,2.10,88.28,88.28,7.74,6.19,0.96,0.75,3.62,0.206
Tb927.11.11660,"hypothetical protein, conserved",ZUnknown,1,1089,1.8,0.83,227.95,4.56,2.19,87.57,87.57,7.68,4.32,3.97,0.692,0.71,1.855
Tb927.3.5200,"hypothetical protein, conserved",ZUnknown,1,711,2.1,1.09,67.59,1.35,0.43,39.81,39.81,3.49,1.64,2.31,0.704,1.06,1.674
Tb927.11.10710,"hypothetical protein, conserved",ZUnknown,1,3549,1.0,-0.03,170.78,3.42,1.77,26.15,26.15,2.29,2.34,0.66,0.742,1.47,0.306
Tb927.3.3200,"hypothetical protein, conserved",ZUnknown,1,1053,3.5,1.79,86.12,1.72,0.78,204.78,204.78,17.96,5.18,4.92,0.754,1.12,1.186
Tb927.7.4150,"hypothetical protein, conserved",ZUnknown,1,3756,1.1,0.09,147.80,2.96,1.56,75.60,75.6,6.63,6.23,1.66,0.729,3.84,0.186
Tb927.7.4510,"hypothetical protein, conserved",ZUnknown,1,1224,2.8,1.48,76.32,1.53,0.61,116.06,116.06,10.18,3.64,2.97,0.752,1.94,0.688
Tb927.4.3830,"hypothetical protein, conserved",ZUnknown,1,477,1.8,0.82,73.77,1.48,0.56,18.95,18.95,1.66,0.94,1.97,0.502,1.32,1.387
Tb927.11.11270,"hypothetical protein, conserved",ZUnknown,1,1407,1.0,0.00,153.37,3.07,1.62,80.47,80.47,7.06,7.07,5.02,0.658,1.13,2.127
Tb927.10.6100,"hypothetical protein, conserved",ZUnknown,1,1308,0.9,-0.14,117.99,2.36,1.24,17.88,17.88,1.57,1.72,1.31,0.687,0.79,1.191
Tb927.11.3920,"hypothetical protein, conserved",ZUnknown,1,2055,1.4,0.48,60.13,1.20,0.27,101.22,101.22,8.88,6.38,3.1,0.742,4.64,0.553
Tb927.7.6240,"hypothetical protein, conserved",ZUnknown,1,1584,1.0,-0.06,91.86,1.84,0.88,33.87,33.87,2.97,3.11,1.96,0.663,0.74,1.885
Tb927.10.7960,"hypothetical protein, conserved",ZUnknown,1,468,1.7,0.77,49.51,0.99,-0.01,34.69,34.69,3.04,1.79,3.82,0.728,1.77,1.067
Tb927.11.7570,"hypothetical protein, conserved",ZUnknown,1,2178,1.9,0.94,71.47,1.43,0.52,154.12,154.12,13.52,7.06,3.24,0.763,2.81,1.076
Tb927.5.3230,"hypothetical protein, conserved",ZUnknown,1,6546,1.5,0.56,183.70,3.67,1.88,118.65,118.65,10.41,7.08,1.08,0.755,2.2,0.097
Tb927.11.3170,"hypothetical protein, conserved",ZUnknown,2,618,1.5,0.56,73.10,2.92,1.55,47.42,94.84,8.32,5.66,9.16,0.727,1.62,0.724
Tb927.10.5900,"hypothetical protein, conserved",ZUnknown,1,1404,2.9,1.52,219.18,4.38,2.13,7.99,7.99,0.7,0.24,0.17,0.627,1.13,0.739
Tb927.9.11670,"hypothetical protein, conserved",ZUnknown,1,3675,1.2,0.24,167.22,3.34,1.74,6.86,6.86,0.6,0.51,0.14,0.658,1.9,0.412
Tb927.7.3220,"hypothetical protein, conserved",ZUnknown,1,621,4.7,2.25,60.08,1.20,0.26,18.67,18.67,1.64,0.35,0.56,0.619,1.55,1.057
Tb927.7.5730,"hypothetical protein, conserved",ZUnknown,1,2208,0.6,-0.79,61.31,1.23,0.29,67.86,67.86,5.95,10.27,4.65,0.684,3.35,0.352
Tb927.11.3010,"hypothetical protein, conserved",ZUnknown,1,1716,1.2,0.23,221.63,4.43,2.15,18.12,18.12,1.59,1.36,0.79,0.676,0.75,2.324
Tb927.4.2980,"hypothetical protein, conserved",ZUnknown,1,660,0.9,-0.10,43.72,0.87,-0.19,4.67,4.67,0.41,0.44,0.67,0.534,1.16,1.218
Tb927.11.16340,"hypothetical protein, conserved",ZUnknown,1,3450,2.0,1.02,299.29,5.99,2.58,91.12,91.12,7.99,3.93,1.14,0.775,2.14,0.229
Tb927.3.2740,"hypothetical protein, conserved",ZUnknown,1,921,2.9,1.52,138.93,2.78,1.47,11.12,11.12,0.98,0.34,0.37,0.647,1.19,1.947
Tb927.9.11690,"hypothetical protein, conserved",ZUnknown,1,1983,0.8,-0.33,63.58,1.27,0.35,19.90,19.9,1.75,2.19,1.1,0.647,1.93,0.667
Tb927.8.4660,"hypothetical protein, conserved",ZUnknown,1,3165,0.6,-0.83,124.90,2.50,1.32,47.30,47.3,4.15,7.39,2.33,0.631,2.13,0.368
Tb927.2.5500,"hypothetical protein, conserved",ZUnknown,1,645,3.7,1.88,98.09,1.96,0.97,145.66,145.66,12.77,3.47,5.38,0.777,0.98,2.704
Tb927.3.3800,"hypothetical protein, conserved",ZUnknown,1,3075,0.9,-0.22,147.22,2.94,1.56,77.96,77.96,6.84,7.94,2.58,0.735,2.13,0.601
Tb927.10.13100,"hypothetical protein, conserved",ZUnknown,1,1317,1.7,0.74,70.49,1.41,0.50,101.28,101.28,8.88,5.31,4.03,0.745,3.57,1.123
Tb927.6.1930,"hypothetical protein, conserved",ZUnknown,1,1002,2.8,1.49,97.19,1.94,0.96,58.57,58.57,5.14,1.82,1.82,0.652,1.11,0.553
Tb927.11.10770,"hypothetical protein, conserved",ZUnknown,1,1377,3.3,1.73,153.56,3.07,1.62,122.83,122.83,10.77,3.26,2.37,0.733,1.08,0.868
Tb927.7.590,"hypothetical protein, conserved",ZUnknown,1,1392,1.0,0.02,133.01,2.66,1.41,59.84,59.84,5.25,5.18,3.72,0.632,0.87,1.378
Tb927.10.4530,"hypothetical protein, conserved",ZUnknown,1,864,1.2,0.20,64.29,1.29,0.36,12.73,12.73,1.12,0.97,1.12,0.661,0.89,0.974
Tb927.3.5430,"hypothetical protein, conserved",ZUnknown,1,816,3.9,1.98,71.26,1.43,0.51,43.54,43.54,3.82,0.97,1.19,0.711,1.06,0.346
Tb927.7.780,"hypothetical protein, conserved",ZUnknown,1,1893,1.4,0.44,111.23,2.22,1.15,16.30,16.3,1.43,1.05,0.55,0.716,2.24,0.404
Tb927.7.5520,"hypothetical protein, conserved",ZUnknown,1,621,3.6,1.84,67.90,1.36,0.44,31.37,31.37,2.75,0.77,1.24,0.757,1.66,0.729
Tb927.6.4680,"hypothetical protein, conserved",ZUnknown,1,855,2.5,1.32,57.10,1.14,0.19,37.22,37.22,3.26,1.31,1.53,0.694,1.45,1.125
Tb927.11.16840,"hypothetical protein, conserved",ZUnknown,1,2733,0.9,-0.16,123.29,2.47,1.30,82.87,82.87,7.27,8.1,2.96,#N/A,2.27,0.415
Tb927.7.5050,"hypothetical protein, conserved",ZUnknown,1,2922,2.0,1.01,167.24,3.34,1.74,287.86,287.86,25.25,12.49,4.27,0.798,3.64,0.31
Tb927.8.2010,"hypothetical protein, conserved",ZUnknown,1,561,1.4,0.44,52.17,1.04,0.06,27.38,27.38,2.4,1.77,3.16,0.473,0.84,1.727
Tb927.11.16910,"hypothetical protein, conserved",ZUnknown,1,2676,1.4,0.50,167.21,3.34,1.74,47.52,47.52,4.17,2.94,1.1,0.726,1.72,0.526
Tb927.11.10360,"hypothetical protein, conserved",ZUnknown,1,1386,0.7,-0.57,73.07,1.46,0.55,47.35,47.35,4.15,6.18,4.46,0.696,1.02,2.877
Tb927.6.2270,"hypothetical protein, conserved",ZUnknown,2,753,3.0,1.58,94.81,3.79,1.92,21.09,42.18,3.7,1.23,1.63,0.543,0.13,2.012
Tb927.4.5380,"hypothetical protein, conserved",ZUnknown,2,4383,2.4,1.29,168.07,6.72,2.75,212.17,424.34,37.22,15.25,3.48,0.761,2.77,0.383
Tb927.11.13450,"hypothetical protein, conserved",ZUnknown,1,828,3.0,1.59,92.23,1.84,0.88,65.97,65.97,5.79,1.92,2.32,0.633,3.06,1.622
Tb927.11.8050,"hypothetical protein, conserved",ZUnknown,1,1572,3.8,1.92,200.94,4.02,2.01,105.71,105.71,9.27,2.45,1.56,0.768,0.89,0.515
Tb927.9.6410,"hypothetical protein, conserved",ZUnknown,1,2013,1.6,0.66,123.59,2.47,1.31,17.15,17.15,1.5,0.95,0.47,0.651,1.28,0.839
Tb927.2.4480,"hypothetical protein, conserved",ZUnknown,1,591,4.4,2.15,62.74,1.25,0.33,110.33,110.33,9.68,2.18,3.69,0.664,2.12,1.079
Tb927.11.5700,"hypothetical protein, conserved",ZUnknown,1,5163,1.2,0.22,188.57,3.77,1.92,154.99,154.99,13.59,11.7,2.27,0.747,3.93,0.379
Tb927.11.6610,"hypothetical protein, conserved",ZUnknown,1,1095,1.3,0.36,127.76,2.56,1.35,130.64,130.64,11.46,8.9,8.13,0.698,2.46,0.816
Tb927.10.5390,"hypothetical protein, conserved",ZUnknown,1,4101,2.0,0.99,201.64,4.03,2.01,63.69,63.69,5.59,2.8,0.68,0.744,3.15,0.343
Tb927.11.16940,"hypothetical protein, conserved",ZUnknown,1,1359,0.7,-0.47,85.26,1.71,0.77,29.15,29.15,2.56,3.53,2.6,0.648,0.8,1.232
Tb927.11.280,"hypothetical protein, conserved",ZUnknown,1,1947,0.7,-0.45,124.27,2.49,1.31,70.32,70.32,6.17,8.4,4.31,0.711,1.22,0.601
Tb927.4.3360,"hypothetical protein, conserved",ZUnknown,1,1335,1.3,0.43,102.12,2.04,1.03,21.54,21.54,1.89,1.4,1.05,0.616,1.26,1.694
Tb927.11.15520,"hypothetical protein, conserved",ZUnknown,1,2310,1.2,0.30,179.33,3.59,1.84,39.84,39.84,3.49,2.84,1.23,0.683,1.57,0.976
Tb927.10.14880,"hypothetical protein, conserved",ZUnknown,1,2553,0.8,-0.35,103.95,2.08,1.06,35.03,35.03,3.07,3.92,1.54,0.7,2.05,0.629
Tb927.9.9270,"hypothetical protein, conserved",ZUnknown,1,1548,1.5,0.55,83.89,1.68,0.75,28.20,28.2,2.47,1.68,1.09,0.64,2.71,0.736
Tb927.10.11480,"hypothetical protein, conserved",ZUnknown,1,1914,1.2,0.23,97.11,1.94,0.96,10.56,10.56,0.93,0.79,0.41,0.713,2.07,0.328
Tb927.10.11750,"hypothetical protein, conserved",ZUnknown,1,669,1.4,0.46,47.10,0.94,-0.09,13.18,13.18,1.16,0.84,1.26,0.626,1.01,1.223
Tb927.8.7710,"hypothetical protein, conserved",ZUnknown,2,660,2.5,1.31,39.23,1.57,0.65,6.00,12,1.05,0.42,0.64,0.634,3.52,0.681
Tb927.6.650,"hypothetical protein, conserved",ZUnknown,1,4506,1.5,0.62,125.76,2.52,1.33,112.48,112.48,9.86,6.42,1.42,0.743,2.11,0.47
Tb927.4.990,"hypothetical protein, conserved",ZUnknown,1,1053,0.8,-0.25,107.92,2.16,1.11,14.37,14.37,1.26,1.5,1.42,0.55,1.61,1.42
Tb927.10.2330,"hypothetical protein, conserved",ZUnknown,1,831,1.8,0.83,73.81,1.48,0.56,110.30,110.3,9.67,5.45,6.56,0.745,4.11,1.108
Tb927.7.7490,"hypothetical protein, conserved",ZUnknown,1,837,1.4,0.53,48.07,0.96,-0.06,36.06,36.06,3.16,2.19,2.62,0.618,4.23,9.357
Tb927.3.3350,"hypothetical protein, conserved",ZUnknown,1,1557,1.5,0.63,118.94,2.38,1.25,32.84,32.84,2.88,1.86,1.19,0.753,1.37,0.937
Tb927.3.3040,"hypothetical protein, conserved",ZUnknown,1,804,3.0,1.59,144.62,2.89,1.53,161.80,161.8,14.19,4.71,5.86,0.741,1.42,1.142
Tb927.9.9230,"hypothetical protein, conserved",ZUnknown,1,510,2.2,1.12,56.55,1.13,0.18,59.85,59.85,5.25,2.42,4.75,0.677,1.64,1.547
Tb927.11.2970,"hypothetical protein, conserved",ZUnknown,1,1977,1.0,-0.05,64.18,1.28,0.36,38.33,38.33,3.36,3.49,1.77,0.644,1.83,0.562
Tb927.11.1190,"hypothetical protein, conserved",ZUnknown,1,1350,1.1,0.13,88.06,1.76,0.82,47.99,47.99,4.21,3.84,2.84,0.621,2.17,1.623
Tb927.2.1720,"hypothetical protein, conserved",ZUnknown,1,369,6.8,2.76,39.65,0.79,-0.33,23.65,23.65,2.07,0.31,0.84,0.494,1.56,0.75
Tb927.11.13260,"hypothetical protein, conserved",ZUnknown,1,1005,1.0,0.03,81.18,1.62,0.70,52.74,52.74,4.63,4.52,4.5,#N/A,0.71,1.505
Tb927.9.9160,"hypothetical protein, conserved",ZUnknown,1,1860,1.2,0.26,117.13,2.34,1.23,23.52,23.52,2.06,1.73,0.93,0.614,1.47,1.274
Tb927.11.8280,"hypothetical protein, conserved",ZUnknown,1,834,1.4,0.48,98.07,1.96,0.97,24.57,24.57,2.15,1.55,1.86,0.606,1.21,1.338
Tb927.7.5270,"hypothetical protein, conserved",ZUnknown,1,585,2.1,1.06,56.40,1.13,0.17,32.25,32.25,2.83,1.36,2.32,0.634,0.8,3.412
Tb927.11.3770,"hypothetical protein, conserved",ZUnknown,1,789,2.9,1.55,183.91,3.68,1.88,201.22,201.22,17.65,6.02,7.63,0.785,1,1.514
Tb927.4.2320,"hypothetical protein, conserved",ZUnknown,1,435,3.2,1.68,79.65,1.59,0.67,75.92,75.92,6.66,2.07,4.76,0.762,1.35,0.795
Tb927.9.14100,"hypothetical protein, conserved",ZUnknown,1,945,1.7,0.76,54.38,1.09,0.12,82.75,82.75,7.26,4.28,4.53,0.781,2.05,0.924
Tb927.8.2830,"hypothetical protein, conserved",ZUnknown,1,714,2.4,1.29,49.12,0.98,-0.03,47.18,47.18,4.14,1.69,2.37,0.712,3.32,0.832
Tb927.10.2650,"hypothetical protein, conserved",ZUnknown,1,3528,2.1,1.06,160.12,3.20,1.68,71.16,71.16,6.24,2.98,0.84,0.777,2.18,0.359
Tb927.9.8670,"hypothetical protein, conserved",ZUnknown,1,1431,3.0,1.58,180.98,3.62,1.86,135.73,135.73,11.9,3.98,2.78,0.79,1.07,2.224
Tb927.8.5750,"hypothetical protein, conserved",ZUnknown,1,2637,0.9,-0.21,190.47,3.81,1.93,38.17,38.17,3.35,3.88,1.47,0.657,1.31,0.87
Tb927.10.12160,"hypothetical protein, conserved",ZUnknown,1,1113,0.6,-0.71,65.63,1.31,0.39,4.51,4.51,0.4,0.65,0.58,0.551,1.03,3.053
Tb927.11.10180,"hypothetical protein, conserved",ZUnknown,1,1794,0.9,-0.17,158.94,3.18,1.67,80.57,80.57,7.07,7.96,4.44,0.692,3.01,1.325
Tb927.4.5190,"hypothetical protein, conserved",ZUnknown,1,450,4.6,2.20,25.99,0.52,-0.94,1.23,1.23,0.11,0.02,0.04,0.406,1.91,0.04
Tb927.1.4730,"hypothetical protein, conserved",ZUnknown,1,477,2.1,1.06,83.40,1.67,0.74,44.76,44.76,3.93,1.88,3.94,0.587,1.02,1.438
Tb927.1.890,"hypothetical protein, conserved",ZUnknown,1,771,3.3,1.71,200.48,4.01,2.00,21.47,21.47,1.88,0.58,0.75,0.513,2.38,1.531
Tb927.5.1940,"hypothetical protein, conserved",ZUnknown,1,576,2.8,1.47,182.99,3.66,1.87,109.38,109.38,9.59,3.47,6.02,0.655,1.44,0.797
Tb927.1.3040,"hypothetical protein, conserved",ZUnknown,1,813,1.1,0.20,108.26,2.17,1.11,8.06,8.06,0.71,0.62,0.76,0.543,0.44,2.923
Tb927.7.4100,"hypothetical protein, conserved",ZUnknown,1,1503,1.6,0.69,133.36,2.67,1.42,113.20,113.2,9.93,6.17,4.11,0.81,1.23,1.976
Tb927.11.3990,"hypothetical protein, conserved",ZUnknown,1,942,1.2,0.23,146.21,2.92,1.55,80.19,80.19,7.03,6,6.37,0.755,1.9,2.227
Tb927.9.9720,"hypothetical protein, conserved",ZUnknown,1,678,3.7,1.90,165.87,3.32,1.73,65.68,65.68,5.76,1.54,2.27,0.584,1.39,1.802
Tb927.4.1280,"hypothetical protein, conserved",ZUnknown,1,1197,1.3,0.34,112.21,2.24,1.17,27.51,27.51,2.41,1.91,1.6,0.622,1.64,0.526
Tb927.11.5250,"hypothetical protein, conserved",ZUnknown,1,4755,1.2,0.32,103.41,2.07,1.05,80.38,80.38,7.05,5.67,1.19,0.731,3.26,0.071
Tb927.5.2320,"hypothetical protein, conserved",ZUnknown,1,2211,6.4,2.68,348.20,6.96,2.80,601.65,601.65,52.77,8.22,3.72,0.791,1.97,0.363
Tb927.10.7370,"hypothetical protein, conserved",ZUnknown,1,2157,0.5,-0.93,104.76,2.10,1.07,18.23,18.23,1.6,3.04,1.41,0.6,1.06,3.065
Tb927.2.4800,"hypothetical protein, conserved",ZUnknown,1,1074,2.4,1.26,176.49,3.53,1.82,34.63,34.63,3.04,1.27,1.18,0.562,0.57,3.688
Tb927.9.9710,"hypothetical protein, conserved",ZUnknown,1,1008,2.6,1.40,215.94,4.32,2.11,86.02,86.02,7.54,2.86,2.84,0.74,0.75,1.399
Tb927.10.12130,"hypothetical protein, conserved",ZUnknown,1,2352,0.9,-0.09,110.27,2.21,1.14,51.27,51.27,4.5,4.78,2.03,0.717,1.59,0.334
Tb927.9.13630,"hypothetical protein, conserved",ZUnknown,1,1119,1.5,0.58,171.29,3.43,1.78,14.23,14.23,1.25,0.84,0.75,0.501,0.38,2.885
Tb927.11.16080,"hypothetical protein, conserved",ZUnknown,2,882,3.2,1.66,150.72,6.03,2.59,81.65,163.3,14.32,4.54,5.15,0.765,1.19,0.701
Tb927.3.1320,"hypothetical protein, conserved",ZUnknown,1,3444,1.7,0.78,159.60,3.19,1.67,38.44,38.44,3.37,1.96,0.57,0.745,4.21,0.328
Tb927.10.9180,"hypothetical protein, conserved",ZUnknown,1,1257,0.8,-0.29,120.56,2.41,1.27,51.22,51.22,4.49,5.48,4.36,0.697,1.54,0.528
Tb927.11.2510,"hypothetical protein, conserved",ZUnknown,1,3879,2.1,1.10,94.51,1.89,0.92,67.70,67.7,5.94,2.77,0.71,0.763,1.65,0.1
Tb927.9.9260,"hypothetical protein, conserved",ZUnknown,1,495,5.7,2.50,84.01,1.68,0.75,20.57,20.57,1.8,0.32,0.65,0.558,1.23,0.607
Tb927.3.1390,"hypothetical protein, conserved",ZUnknown,1,1437,2.4,1.26,104.86,2.10,1.07,109.66,109.66,9.62,4.03,2.8,0.742,2.57,0.989
Tb927.10.10080,"hypothetical protein, conserved",ZUnknown,1,441,1.5,0.61,87.67,1.75,0.81,53.38,53.38,4.68,3.08,6.98,0.64,0.71,1.605
Tb927.10.3750,"hypothetical protein, conserved",ZUnknown,1,1557,1.6,0.65,88.18,1.76,0.82,96.38,96.38,8.45,5.4,3.47,0.74,3.44,3.402
Tb927.9.13620,"hypothetical protein, conserved",ZUnknown,1,6006,1.3,0.38,114.51,2.29,1.20,96.96,96.96,8.5,6.53,1.09,0.736,3.3,0.404
Tb927.11.5030,"hypothetical protein, conserved",ZUnknown,1,945,1.4,0.43,74.69,1.49,0.58,69.83,69.83,6.12,4.53,4.79,0.782,0.95,0.986
Tb927.10.15550,"hypothetical protein, conserved",ZUnknown,1,3546,1.2,0.23,194.90,3.90,1.96,21.24,21.24,1.86,1.59,0.45,0.763,3.84,0.385
Tb927.7.1220,"hypothetical protein, conserved",ZUnknown,1,3225,1.3,0.38,164.36,3.29,1.72,146.83,146.83,12.88,9.89,3.07,0.763,2.06,0.474
Tb927.11.9620,"hypothetical protein, conserved",ZUnknown,1,2253,0.7,-0.42,161.38,3.23,1.69,57.87,57.87,5.08,6.77,3,#N/A,1.5,1.158
Tb927.11.12450,"hypothetical protein, conserved",ZUnknown,1,1635,1.0,-0.06,75.96,1.52,0.60,27.40,27.4,2.4,2.5,1.53,#N/A,2.74,0.662
